Año,Concepto,Presupuesto,Liquidación
2018,"Material, suministros y otros",4244265.15,4691799.22
2018,Indemnizaciones por razón de servicio,63700.00,48760.52
2018,Gastos de edición y distribución,2500.00,2174.40
2018,Trasbajos realizados por AAPP. Y EEPP,0.00,522880.40
2018,Trabajos realizados por instituciones sin fines de lucro,103700.00,112987.74
2018,De préstamos y otras operaciones financieras,18695.63,3695.39
2018,Intereses de demora y otros gastos financieros,10000.00,407.22
2018,A la Administración del Estado,0.00,0.00
2018,A entidades locales,121940.95,121901.19
2018,A empresas privadas,84000.00,38300.00
2018,A familias e instituciones sin ánimo de lucro,323807.59,319999.71
2018,Al exterior,0.00,0.00
2018,Fondo de contingencia,30000.00,0.00
2018,Inversión nueva en bienes e infraestructuras de interés general,0.00,17892.56
2018,Inversiones en reposición de infra. destinados al uso general,37493.30,387891.15
2018,Inversión nueva asociada al funcio. operativo de los servicios,73532.91,160882.90
2018,Inversión de reposición asoc al funcio operativo de los servicios,56164.34,369411.83
2018,Gastos e inversiones de carácter inmaterial,0.00,0.00
2018,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2018,A la Administración del Estado,0.00,0.00
2018,A la Administración general de la CCAA,0.00,0.00
2018,Vehículos,0.00,0.00
2018,Concesión de préstamos fuera del sector primario,12000.00,10909.78
2018,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2018,Amortización de ope. Y prestamos en curso,141358.87,141358.87
2017,Órganos de gobierno personal directivo,87253.04,101683.04
2017,Personal funcionario,1200863.41,973174.15
2017,Personal laboral,2279143.88,2840541.89
2017,Incentivos al rendimiento,128237.07,93769.81
2017,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1145233.65,1270002.93
2017,Arrendamientos y cánones,15200.00,17716.61
2017,"Reparaciones, mantenimientos y conservación",214300.00,203971.23
2017,"Material, suministros y otros",3510915.85,3152775.60
2017,Indemnizaciones por razón de servicio,54900.00,59357.50
2017,Gastos de edición y distribución,2000.00,3579.80
2017,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2017,Trabajos realizados por instituciones sin fines de lucro,106700.00,94282.03
2017,De préstamos y otras operaciones financieras,53836.00,21314.81
2017,Intereses de demora y otros gastos financieros,10000.00,297.67
2017,A la Administración del Estado,0.00,0.00
2017,A entidades locales,661549.84,668047.00
2017,A empresas privadas,66000.00,36300.00
2017,A familias e instituciones sin ánimo de lucro,357029.00,246775.83
2017,Al exterior,0.00,0.00
2017,Fondo de contingencia,20000.00,0.00
2017,Inversión nueva en bienes e infraestructuras de interés general,0.00,51901.93
2017,Inversiones en reposición de infra. destinados al uso general,32000.00,333586.96
2017,Inversión nueva asociada al funcio. operativo de los servicios,77600.00,701213.64
2017,Inversión de reposición asoc al funcio operativo de los servicios,71000.00,461823.37
2017,Gastos e inversiones de carácter inmaterial,0.00,0.00
2017,Gastos e inversiones de bienes patrimoniales,0.00,0.00
2017,A la Administración del Estado,0.00,0.00
2017,A la Administración general de la CCAA,0.00,0.00
2017,Vehículos,0.00,0.00
2017,Concesión de préstamos fuera del sector primario,12000.00,1700.00
2017,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2017,Amortización de ope. Y prestamos en curso,182590.00,1115080.42
2016,Órganos de gobierno personal directivo,87253.04,87253.04
2016,Personal funcionario,1215290.99,1034333.14
2016,Personal laboral,2360144.22,2832695.18
2016,Incentivos al rendimiento,130564.36,47659.58
